name,type,a,b,bhat,c,order,n
E1,explicit,[[0]],[1],[0],[0],1,1
ME2,explicit,"[[0, 0], [1/2, 0]]","[0, 1]","[0, 0]","[0, 1/2]",2,2
HEUN2,explicit,"[[0, 0], [1, 0]]","[1/2, 1/2]","[0, 0]","[0, 1]",2,2
ODE23,explicit,"[[0, 0, 0], [1, 0, 0], [1/4, 1/4, 0]]","[1/6, 1/6, 2/3]","[-1/6, -1/6, 4/3]","[0, 1, 1/2]",2,3
MOAN25,explicit,"[[0, 0, 0], [1/2, 0, 0], [0, 1, 0]]","[1/4, 1/2, 1/4]","[0, 0, 0]","[0, 1/2, 1]",2,3
MOAN35,explicit,"[[0, 0, 0, 0], [0, 0, 0, 0], [1/2, 1/6, 0, 0], [-1/2, -3/2, 3, 0]]","[1/4, -1/12, 3/4, 1/12]","[0, 0, 0, 0]","[0, 1, 2/3, 1]",3,4
RK4,explicit,"[[0, 0, 0, 0], [1/2, 0, 0, 0], [0, 1/2, 0, 0], [0, 0, 1, 0]]","[1/6, 1/3, 1/3, 1/6]","[0, 0, 0, 0]","[0, 1/2, 1/2, 1]",4,4
RK45,explicit,"[[0, 0, 0, 0, 0, 0], [1/4, 0, 0, 0, 0, 0], [3/32, 9/32, 0, 0, 0, 0], [1932/2197, -7200/2197, 7296/2197, 0, 0, 0], [439/216, -8, 3680/513, -845/4104, 0, 0], [-8/27, 2, -3544/2565, 1859/4104, -11/40, 0]]","[25/216, 0, 1408/2565, 2197/4104, -1/5, 0]","[16/135, 0, 6656/12825, 28561/56430, -9/50, 2/55]","[0, 1/4, 3/8, 12/13, 1, 1/2]",4,6
RKF34,explicit,"[[0, 0, 0, 0, 0], [1/4, 0, 0, 0, 0], [4/81, 32/81, 0, 0, 0], [57/98, -432/343, 1053/686, 0, 0], [1/6, 0, 27/52, 49/156, 0]]","[1/6, 0, 27/52, 49/156, 0]","[43/288, 0, 243/416, 343/1872, 1/12]","[0, 1/4, 4/9, 6/7, 1]",3,5
RKF43,explicit,"[[0, 0, 0, 0, 0], [1/4, 0, 0, 0, 0], [4/81, 32/81, 0, 0, 0], [57/98, -432/343, 1053/686, 0, 0], [1/6, 0, 27/52, 49/156, 0]]","[43/288, 0, 243/416, 343/1872, 1/12]","[1/6, 0, 27/52, 49/156, 0]","[0, 1/4, 4/9, 6/7, 1]",4,5
RKF45A,explicit,"[[0, 0, 0, 0, 0, 0], [2/9, 0, 0, 0, 0, 0], [1/12, 1/4, 0, 0, 0, 0], [69/128, -243/128, 135/64, 0, 0, 0], [-17/12, 27/4, -27/5, 16/15, 0, 0], [65/432, -5/16, 13/16, 4/27, 5/144, 0]]","[1/9, 0, 9/20, 16/45, 1/12, 0]","[47/450, 0, 12/25, 32/225, 1/30, 6/25]","[0, 2/9, 1/3, 3/4, 1, 5/6]",4,6
